title,views_on_vd,time_in_minutes
Haberman breaks down why Trump feels like he might be charged,291K,1440
Mar-a-Lago pool flood raises suspicions among prosecutors in Trump classified documents case,416K,1440
Top US general says Ukraine war has 'greater meaning' for the world,340K,1440
CNN Exclusive: GOP Gov. Sununu says he will not run for president in 2024,42K,1440
Fatal crash of unresponsive plane left a ‘crater’ with few recognizable pieces,85K,1440
Video captures sonic boom caused by fighter jets being scrambled,619K,1440
Democrat asked whether Trump tape is smoking gun. Hear his response,337K,1440
Dr. Phil asked if he regrets how he handled interview with Shelley Duvall,122K,1440
CNN reporter on Biden Oval Office address: ‘Are Americans still listening to Biden?’,39K,1440
Ukraine official: Gates of war have opened on Russian territory,2.1M,1440
DeSantis praised Fauci in spring 2020 for ‘really doing a good job’,20K,1440
Top military leader creates critical problem for Putin,182K,1440
Biden trips over sandbag during Air Force Academy commencement,126K,1440
Gen. Wesley Clark analyzes the rise of attacks inside Russia,320K,1440
Flying This Summer? Pack Your Patience,7K,1440
NATO excludes Kosovo from exercises over 'unnecessary' crisis,65K,1440
Refinery ignites after alleged drone strike inside Russia’s border,691K,1440
James Comey blames Trump for GOP opinion of FBI,46K,1440
Breaking down the dual fronts of the Russia-Ukraine war,313K,1440
What's next in Texas Attorney General's impeachment,42K,1440
Rep. Roy threatens McCarthy’s speakership over debt deal,204K,1440
Sanjay Investigates “The CBD Craze” Pt. 2,12K,1440
"Attacks on Russian military bases in south Ukraine increasing, Ukrainian officials say",1.1M,1440
Surveillance footage shows bus driver and passenger in shootout aboard moving bus,93K,1440
Body of nun appears to show no sign of decay 4 years after burial,976K,1440
Unprecedented images show sunspot larger than Earth,351K,1440
‘Historically unprecedented’: Legal expert examines Trump’s legal woes,310K,1440
Retired general explains whether Ukraine is ready for counter-offense,154K,1440
Hospital hit in deadly Russian attack on Dnipro,52K,1440
See the route where Russia may be receiving weapons from another US adversary,535K,1440
Hear from anti-Putin Russian fighters on how cross-border raids were conducted,129K,1440
Ex-officer injured on Jan. 6 reacts to Oath Keeper founder’s long sentence,171K,1440
Target facing backlash following removal of merchandise ahead of Pride Month,101K,1440
Ron DeSantis announces bid for president on Twitter despite glitches,84K,1440
Why this author thinks Twitter is pandering to far-right audience,19K,1440
Mark Meadows wields quiet political power amid Trump legal woes,77K,1440
Reporter breaks down Ron DeSantis announcing 2024 campaign on Twitter,45K,1440
Investigation underway after strike targeting al-Qaeda leader ‘may have resulted’ in civilian death,31K,1440
Former Army brigadier general breaks down the latest in Belgorod after a cross-border incursion,549K,1440
Retired Army General weighs in after anti-Putin Russians claim Belgorod attack,589K,1440
Trump’s legal dramas risk overshadowing his campaign,70K,1440
Cannes Film Festival 2023: The stand-out films and stars this year,31K,1440
Zelensky adviser speaks about battle for Bakhmut and Wagner Group,69K,1440
"Tim Scott, the only Black Republican in the Senate, enters the 2024 GOP primary",42K,1440
See devastating impact of Ukraine's 'secret weapons',584K,1440
Zelensky responds to Wagner chief's claims about Bakhmut,264K,1440
CIA tries to recruit Russian spies with dramatic new video,66K,1440
Judge: Suspected Pentagon leaker will stay behind bars until trial,42K,1440
South Carolina Sen. Tim Scott files to run for president,72K,1440
"Disney cancels billion-dollar Florida campus, DeSantis says he’s ‘not surprised’",299K,1440
World's richest man weighs which of his 5 children will take over empire,56K,1440
Watch Rep. Jordan clash with Rep. Plaskett on the credibility of FBI whistleblowers,56K,1440
"Feinstein’s office confirms broader health complications, contradicting senator’s denial",161K,1440
DeSantis expected to enter 2024 presidential race next week,43K,1440
"See never-before-seen view of Titanic wreckage reconstructed from 700,000 images",66K,1440
Elon Musk rips into working remotely. See what ‘Shark Tank’ host Kevin O’Leary has to say,71K,1440
Why former Trump White House lawyer thinks Trump will go to jail,1M,1440
Biden leaves for Japan as default looms,40K,1440
Prince Harry and Meghan involved in ‘near catastrophic car chase’ involving paparazzi in NY,96K,1440
How former Google exec Eric Schmidt thinks AI could become a weapon of war,42K,1440
US State Dept. working to verify Wagner’s boss claim that US citizen died fighting in Bakhmut,605K,1440
‘John Durham is wrong’: McCabe responds to FBI-Russia report,111K,1440
Russia launches fresh attack on Kyiv as Ukraine claims Moscow is on the defense,445K,1440
Ukrainian official says Wagner chief 'would not be alive today' if he offered intel,993K,1440
Democratic congressman’s staff attacked by man with baseball bat,55K,1440
Wagner boss denies report that he offered intelligence to Kyiv in exchange for territory,195K,1440
Why Erdogan’s fate matters to Biden and the US,194K,1440
Zakaria warns how Putin's regime in Russia could look worse,619K,1440
Ana Navarro: This number should be a 'great concern' for DeSantis,157K,2880
Watch as verdict is read in child murder trial of Idaho mother,68K,2880
The Rise and Fall of “Woke” with Dr. Ibram X. Kendi,9K,2880
Lyft CEO explains what he learned from Jeff Bezos,16K,2880
Maggie Haberman says this strategy will be a problem for Trump during primaries,307K,2880
Wagner leader accuses Putin’s military of cutting and running in new audio,638K,2880
How 'Storm Shadow' cruise missiles will help Ukraine,562K,2880
Hear why this GOP senator isn't supporting Trump for the GOP nomination,95K,2880
Ukraine: Russia suffered major losses in Bakhmut counterattack,462K,2880
Hear what fact-checker says about Trump's claims at town hall,480K,2880
Why President Trump believes US should default if White House doesn't agree to spending cuts,661K,2880
GOP lawmakers call for Santos' resignation on Capitol Hill,296K,2880
E. Jean Carroll says Trump is 'incorrect' about civil trial jury,214K,2880
See Donald Trump's post reacting to verdict in E. Jean Carroll case,239K,2880
Jury finds Donald Trump sexually abused E. Jean Carroll in civil case,486K,2880
CNN military analyst slams Russia's Victory Day parade,503K,2880
"Sanjay investigates ""Weed"" Pt. 1",31K,2880
Expert on Texas shooter’s ‘hate ideology’ on social media,291K,2880
McConnell on 2024 Senate map: ‘We do have the possibility of screwing this up’,139K,2880
CNN exclusive video shows bystanders attempting to restrain driver after deadly Brownsville crash,125K,2880
Putin target breaks down how Putin is a ‘puppet master’,405K,2880
"Video captures gunfire during Allen, Texas, mall shooting",1M,2880
Trump asked about infamous 'Access Hollywood' tape in deposition. See his reaction,116K,2880
"Wife of Justice Clarence Thomas received thousands in hidden payments, Washington Post reports",204K,2880
Report: Mar-a-Lago insider cooperating with DOJ in docs case,87K,2880
Trump says he will 'confront' rape allegations brought against him,307K,2880
Unusual site of Russian jet trails in sky indicate a rare turning point,1.7M,2880
Writers are striking to stop AI screenplays,28K,2880
CNN reporter on significance of 'rarely brought charge' in Proud Boys trial,184K,2880
Retired Maj. General on who may be behind alleged drone strike on Kremlin,339K,2880
See the alleged drone attack video Putin is calling an assassination attempt,526K,2880
Hear Zelensky’s response to Russia’s claim that Ukraine targeted Putin,416K,2880
New documents show how Sandra Day O’Connor helped George W. Bush win the 2000 election,72K,2880
